Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
MSTX-2A---,,SKILLS EXPLORATION 12A,Applied Skills,,N,,2,1,21,2.00,,50,,2,,,,Y
MSTX-2AI--,,INCLUSIVE INTRODUCTION TO TRADE SKILLS 12,Applied Skills,,N,,2,1,21,2.00,,50,,1,,,,Y
MTAUT11---,,AUTOMOTIVE TECHNOLOGY 11,Applied Skills,,N,,2,1,21,2.00,,50,,3,,,,Y
MTAUT12---,,AUTOMOTIVE TECHNOLOGY 12,Applied Skills,,N,,2,1,21,2.00,,50,,3,,,,Y
MTDRF10---,,ADST ?  DRAFTING 10,Applied Skills,,N,,2,1,24,2.00,,50,,5,,,,Y
MTDRF11---,,DRAFTING 11,Applied Skills,,N,,2,1,24,2.00,,50,,5,,,,Y
MTDRF12---,,DRAFTING 12,Applied Skills,,N,,2,1,24,2.00,,50,,5,,,,Y
MTEAD12---,,ENGINE AND DRIVETRAIN 12,Applied Skills,,N,,2,1,21,2.00,,50,,3,,,,Y
MTEAR10---,,ADST ?  ELECTRONICS AND ROBOTICS 10,Applied Skills,,N,,2,1,24,2.00,,50,,3,,,,Y
MTEXP10D--,,ADST-Technology Explorations 10 Design Innov & Inq,Information Tech,,N,,2,1,24,2.00,,50,,1,,,,Y
MTPOW10---,,ADST ?  POWER TECHNOLOGY 10,Applied Skills,,N,,2,1,21,2.00,,50,,2,,,,Y
MTROB11---,,ROBOTICS 11,Applied Skills,,N,,2,1,24,2.00,,50,,3,,,,Y
MTROB12---,,ROBOTICS 12,Applied Skills,,N,,2,1,24,2.00,,50,,3,,,,Y
MVAPH10---,,VISUAL ARTS: PHOTOGRAPHY 10,Fine Arts,,N,,2,1,24,2.00,,50,,2,,,,Y
